# subj	trial	index_traj	path	last_cond	condition	index_old	mean_side	mean_val	mean_last5	mean_last15	sd	last_visibl_side	f_missing_pos	last_visibl_center_dist[deg]	response	RT	prop_last_5	prop_last_15	prop_ms	prop_lv	accuracy
1	75	17	5%	opposite	opposite_5	40	right	2.125	-2.158	2.044	6.532	left	42	-2.644	-1	0.872	1	0	0	1	1
1	156	21	5%	opposite	opposite_5	45	left	-1.854	1.911	-0.734	6.381	right	39	10.722	1	0.863	1	0	0	1	1
1	73	19	5%	opposite	opposite_5	43	right	1.392	-1.341	1.171	6.468	left	40	-8.888	1	0.843	0	1	1	0	0
1	72	3	5%	opposite	opposite_5	11	right	0.946	-0.946	1.365	3.877	left	14	-2.704	1	0.638	0	1	1	0	0
1	69	8	5%	opposite	opposite_5	26	right	1.733	-1.779	1.878	4.764	left	21	-6.096	1	0.688	0	1	1	0	0
1	68	20	5%	opposite	opposite_5	44	right	1.608	-1.548	1.604	6.108	left	36	-6.022	-1	0.877	1	0	0	1	1
1	161	22	5%	opposite	opposite_5	47	left	-1.307	1.313	-1.177	6.295	right	39	3.058	1	0.809	1	0	0	1	1
1	127	1	15%	opposite	opposite_15	6	right	0.931	-1.006	-0.838	2.989	left	8	-5.179	-1	0.591	1	1	0	1	1
1	62	10	5%	opposite	opposite_5	29	right	2.085	-2.028	1.078	4.674	left	21	-6.019	-1	0.591	1	0	0	1	1
1	163	6	5%	opposite	opposite_5	22	right	1.244	-1.19	1.422	4.911	left	23	-3.587	1	0.767	0	1	1	0	0
1	164	3	5%	opposite	opposite_5	11	left	-0.946	0.946	-1.365	3.877	right	14	2.704	1	0.789	1	0	0	1	1
1	59	4	5%	opposite	opposite_5	17	right	0.985	-0.978	0.316	3.711	left	13	-2.576	1	0.655	0	1	1	0	0
1	94	5	5%	opposite	opposite_5	18	right	1.031	-0.947	1.205	3.254	left	9	-4.659	-1	0.645	1	0	0	1	1
1	165	2	5%	opposite	opposite_5	9	right	1.166	-1.105	0.536	2.524	left	5	-2.767	-1	0.603	1	0	0	1	1
1	95	11	5%	opposite	opposite_5	30	right	1.096	-1.154	0.743	4.972	left	24	-3.726	1	0.425	0	1	1	0	0
1	97	17	5%	opposite	opposite_5	40	left	-2.125	2.158	-2.044	6.532	right	42	2.644	1	0.657	1	0	0	1	1
1	130	15	15%	opposite	opposite_15	34	right	1.54	-1.577	-1.381	5.464	left	29	-3.437	-1	0.6675	1	1	0	1	1
1	131	9	15%	opposite	opposite_15	27	right	1.171	-1.257	-1.041	4.454	left	18	-7.711	1	0.719	0	0	1	0	0
1	124	24	15%	opposite	opposite_15	49	left	-1.143	1.208	1.073	6.283	right	39	3.668	1	0.706	1	1	0	1	1
1	123	10	15%	opposite	opposite_15	29	left	-2.085	2.184	1.992	4.674	right	21	6.019	1	0.6675	1	1	0	1	1
1	122	7	15%	opposite	opposite_15	25	right	0.942	-0.883	-0.696	4.765	left	21	-7.396	-1	0.767	1	1	0	1	1
1	120	2	15%	opposite	opposite_15	9	left	-1.166	1.123	0.973	2.524	right	5	2.767	1	0.559	1	1	0	1	1
1	119	24	15%	opposite	opposite_15	49	right	1.143	-1.208	-1.073	6.283	left	39	-3.668	1	0.6675	0	0	1	0	0
1	133	15	15%	opposite	opposite_15	34	left	-1.54	1.577	1.381	5.464	right	29	3.437	1	0.699	1	1	0	1	1
1	134	0	15%	opposite	opposite_15	1	right	0.775	-0.834	-0.64	2.342	left	4	-3.749	-1	0.551	1	1	0	1	1
1	116	11	15%	opposite	opposite_15	30	left	-1.096	1.129	0.909	4.972	right	24	3.726	1	0.951	1	1	0	1	1
1	115	2	15%	opposite	opposite_15	9	right	1.166	-1.123	-0.973	2.524	left	5	-2.767	-1	0.507	1	1	0	1	1
1	114	3	15%	opposite	opposite_15	11	left	-0.946	0.992	1.179	3.877	right	14	2.704	1	0.826	1	1	0	1	1
1	113	6	15%	opposite	opposite_15	22	right	1.244	-1.248	-1.111	4.911	left	23	-3.587	-1	0.624	1	1	0	1	1
1	135	0	15%	opposite	opposite_15	1	left	-0.775	0.834	0.64	2.342	right	4	3.749	1	0.33	1	1	0	1	1
1	111	22	15%	opposite	opposite_15	47	left	-1.307	1.346	1.187	6.295	right	39	3.058	1	0.6675	1	1	0	1	1
1	137	23	15%	opposite	opposite_15	48	right	0.888	-0.856	-0.981	6.245	left	38	-8.275	1	0.819	0	0	1	0	0
1	138	12	15%	opposite	opposite_15	31	right	1.652	-1.737	-1.445	5.732	left	30	-12.73	-1	0.565	1	1	0	1	1
1	106	21	15%	opposite	opposite_15	45	left	-1.854	1.854	2.094	6.381	right	39	10.722	1	0.649	1	1	0	1	1
1	105	4	15%	opposite	opposite_15	17	left	-0.985	0.937	1.132	3.711	right	13	2.576	1	0.82	1	1	0	1	1
1	140	16	15%	opposite	opposite_15	39	left	-0.915	0.938	0.893	5.459	right	29	9.09	1	0.631	1	1	0	1	1
1	103	13	15%	opposite	opposite_15	32	right	0.87	-0.772	-0.908	5.412	left	28	-4.576	-1	0.776	1	1	0	1	1
1	102	21	15%	opposite	opposite_15	45	right	1.854	-1.854	-2.094	6.381	left	39	-10.722	1	0.623	0	0	1	0	0
1	101	20	15%	opposite	opposite_15	44	left	-1.608	1.665	1.82	6.108	right	36	6.022	-1	0.701	0	0	1	0	0
1	141	9	15%	opposite	opposite_15	27	left	-1.171	1.257	1.041	4.454	right	18	7.711	1	0.816	1	1	0	1	1
1	198	14	5%	opposite	opposite_5	33	left	-0.979	1.026	-0.376	5.336	right	28	3.279	1	0.657	1	0	0	1	1
1	143	1	15%	opposite	opposite_15	6	left	-0.931	1.006	0.838	2.989	right	8	5.179	1	0.607	1	1	0	1	1
1	57	5	5%	opposite	opposite_5	18	left	-1.031	0.947	-1.205	3.254	right	9	4.659	1	0.569	1	0	0	1	1
1	64	14	5%	opposite	opposite_5	33	right	0.979	-1.026	0.376	5.336	left	28	-3.279	1	0.708	0	1	1	0	0
1	55	16	5%	opposite	opposite_5	39	right	0.915	-0.91	1.344	5.459	left	29	-9.09	1	0.613	0	1	1	0	0
1	36	23	15%	opposite	opposite_15	48	left	-0.888	0.856	0.981	6.245	right	38	8.275	1	0.701	1	1	0	1	1
1	12	10	15%	opposite	opposite_15	29	right	2.085	-2.184	-1.992	4.674	left	21	-6.019	-1	0.549	1	1	0	1	1
1	35	18	15%	opposite	opposite_15	41	right	1.528	-1.469	-1.396	6.039	left	36	-3.812	-1	0.77	1	1	0	1	1
1	191	9	5%	opposite	opposite_5	27	left	-1.171	1.125	-0.906	4.454	right	18	7.711	1	0.44	1	0	0	1	1
1	180	15	5%	opposite	opposite_5	34	right	1.54	-1.532	0.153	5.464	left	29	-3.437	-1	0.72	1	0	0	1	1
1	181	9	5%	opposite	opposite_5	27	right	1.171	-1.125	0.906	4.454	left	18	-7.711	-1	0.698	1	0	0	1	1
1	14	14	15%	opposite	opposite_15	33	right	0.979	-1.011	-0.794	5.336	left	28	-3.279	1	0.875	0	0	1	0	0
1	190	16	5%	opposite	opposite_5	39	left	-0.915	0.91	-1.344	5.459	right	29	9.09	1	0.443	1	0	0	1	1
1	183	15	5%	opposite	opposite_5	34	left	-1.54	1.532	-0.153	5.464	right	29	3.437	1	0.6675	1	0	0	1	1
1	19	8	15%	opposite	opposite_15	26	right	1.733	-1.774	-1.544	4.764	left	21	-6.096	-1	0.51	1	1	0	1	1
1	56	19	5%	opposite	opposite_5	43	left	-1.392	1.341	-1.171	6.468	right	40	8.888	1	0.519	1	0	0	1	1
1	28	13	15%	opposite	opposite_15	32	left	-0.87	0.772	0.908	5.412	right	28	4.576	1	0.769	1	1	0	1	1
1	27	6	15%	opposite	opposite_15	22	left	-1.244	1.248	1.111	4.911	right	23	3.587	1	1.113	1	1	0	1	1
1	26	22	15%	opposite	opposite_15	47	right	1.307	-1.346	-1.187	6.295	left	39	-3.058	-1	0.813	1	1	0	1	1
1	25	17	15%	opposite	opposite_15	40	right	2.125	-2.142	-2.172	6.532	left	42	-2.644	-1	0.611	1	1	0	1	1
1	185	0	5%	opposite	opposite_5	1	left	-0.775	0.767	-0.159	2.342	right	4	3.749	1	0.507	1	0	0	1	1
1	23	19	15%	opposite	opposite_15	43	right	1.392	-1.4	-1.38	6.468	left	40	-8.888	-1	0.562	1	1	0	1	1
1	22	3	15%	opposite	opposite_15	11	right	0.946	-0.992	-1.179	3.877	left	14	-2.704	-1	0.572	1	1	0	1	1
1	188	12	5%	opposite	opposite_5	31	right	1.652	-1.692	1.609	5.732	left	30	-12.73	1	0.906	0	1	1	0	0
1	187	23	5%	opposite	opposite_5	48	right	0.888	-0.941	1.395	6.245	left	38	-8.275	-1	0.698	1	0	0	1	1
1	184	0	5%	opposite	opposite_5	1	right	0.775	-0.767	0.159	2.342	left	4	-3.749	1	0.665	0	1	1	0	0
1	177	1	5%	opposite	opposite_5	6	right	0.931	-0.889	0.443	2.989	left	8	-5.179	-1	0.485	1	0	0	1	1
1	18	20	15%	opposite	opposite_15	44	right	1.608	-1.665	-1.82	6.108	left	36	-6.022	-1	0.794	1	1	0	1	1
1	9	4	15%	opposite	opposite_15	17	right	0.985	-0.937	-1.132	3.711	left	13	-2.576	-1	0.599	1	1	0	1	1
1	170	2	5%	opposite	opposite_5	9	left	-1.166	1.105	-0.536	2.524	right	5	2.767	1	0.44	1	0	0	1	1
1	4	7	15%	opposite	opposite_15	25	left	-0.942	0.883	0.696	4.765	right	21	7.396	1	0.573	1	1	0	1	1
1	5	16	15%	opposite	opposite_15	39	right	0.915	-0.938	-0.893	5.459	left	29	-9.09	1	0.527	0	0	1	0	0
1	193	1	5%	opposite	opposite_5	6	left	-0.931	0.889	-0.443	2.989	right	8	5.179	1	0.334	1	0	0	1	1
1	47	17	15%	opposite	opposite_15	40	left	-2.125	2.142	2.172	6.532	right	42	2.644	1	0.93	1	1	0	1	1
1	6	19	15%	opposite	opposite_15	43	left	-1.392	1.4	1.38	6.468	right	40	8.888	-1	0.993	0	0	1	0	0
1	169	24	5%	opposite	opposite_5	49	right	1.143	-1.239	3.393	6.283	left	39	-3.668	-1	0.694	1	0	0	1	1
1	166	11	5%	opposite	opposite_5	30	left	-1.096	1.154	-0.743	4.972	right	24	3.726	1	0.697	1	0	0	1	1
1	172	7	5%	opposite	opposite_5	25	right	0.942	-0.887	1.208	4.765	left	21	-7.396	-1	0.6675	1	0	0	1	1
1	45	11	15%	opposite	opposite_15	30	right	1.096	-1.129	-0.909	4.972	left	24	-3.726	-1	0.67	1	1	0	1	1
1	44	5	15%	opposite	opposite_15	18	right	1.031	-1.111	-0.855	3.254	left	9	-4.659	-1	0.527	1	1	0	1	1
1	173	10	5%	opposite	opposite_5	29	left	-2.085	2.028	-1.078	4.674	right	21	6.019	1	0.6675	1	0	0	1	1
1	174	24	5%	opposite	opposite_5	49	left	-1.143	1.239	-3.393	6.283	right	39	3.668	1	0.732	1	0	0	1	1
1	54	7	5%	opposite	opposite_5	25	left	-0.942	0.887	-1.208	4.765	right	21	7.396	1	0.637	1	0	0	1	1
1	40	12	15%	opposite	opposite_15	31	left	-1.652	1.737	1.445	5.732	right	30	12.73	1	0.682	1	1	0	1	1
1	7	5	15%	opposite	opposite_15	18	left	-1.031	1.111	0.855	3.254	right	9	4.659	1	0.49	1	1	0	1	1
1	195	8	5%	opposite	opposite_5	26	left	-1.733	1.779	-1.878	4.764	right	21	6.096	-1	0.57	0	1	1	0	0
